"Time (s) Run #1","Voltage, Ch A (V) Run #1","Current, Ch D (A) Run #1","Charge (C) Run #1"
0.191,0.008,-7.402E-5,
0.191,,,-1.80E-5
0.191,0.008,-4.717E-5,
0.191,,,-1.81E-5
0.191,0.007,-1.119E-4,
0.192,,,-1.81E-5
0.192,0.007,-1.033E-4,
0.192,,,-1.82E-5
0.193,0.009,-7.769E-5,
0.193,,,-1.82E-5
0.193,0.008,-9.111E-5,
0.193,,,-1.82E-5
0.193,0.007,-8.989E-5,
0.194,,,-1.83E-5
0.194,0.007,-8.257E-5,
0.194,,,-1.83E-5
0.195,0.008,-4.351E-5,
0.195,,,-1.84E-5
0.195,0.007,-8.623E-5,
0.195,,,-1.84E-5
0.195,0.008,-6.182E-5,
0.196,,,-1.84E-5
0.196,0.007,-7.036E-5,
0.196,,,-1.85E-5
0.197,0.007,-1.229E-4,
0.197,,,-1.85E-5
0.197,0.008,-6.792E-5,
0.197,,,-1.86E-5
0.198,0.009,-5.815E-5,
0.198,,,-1.86E-5
0.198,0.008,-7.036E-5,
0.198,,,-1.86E-5
0.199,0.008,-5.815E-5,
0.199,,,-1.86E-5
0.199,0.008,-3.130E-5,
0.199,,,-1.87E-5
0.200,0.008,-7.158E-5,
0.200,,,-1.87E-5
0.200,0.008,-6.670E-5,
0.200,,,-1.87E-5
0.201,0.009,-3.984E-5,
0.201,,,-1.87E-5
0.201,0.008,-5.815E-5,
0.201,,,-1.88E-5
0.202,0.008,-3.984E-5,
0.202,,,-1.88E-5
0.202,0.009,-3.374E-5,
0.202,,,-1.88E-5
0.203,0.009,-4.473E-5,
0.203,,,-1.88E-5
0.203,0.008,-5.327E-5,
0.203,,,-1.89E-5
0.204,0.009,-7.646E-5,
0.204,,,-1.89E-5
0.204,0.009,-3.374E-5,
0.204,,,-1.89E-5
0.205,0.009,-3.223E-6,
0.205,,,-1.89E-5
0.205,0.008,-4.229E-5,
0.205,,,-1.89E-5
0.206,0.008,-4.473E-5,
0.206,,,-1.90E-5
0.206,0.007,-4.595E-5,
0.206,,,-1.90E-5
0.207,0.008,-3.984E-5,
0.207,,,-1.90E-5
0.207,0.008,-8.257E-5,
0.207,,,-1.90E-5
0.208,0.009,-5.327E-5,
0.208,,,-1.91E-5
0.208,0.009,-4.961E-5,
0.208,,,-1.91E-5
0.208,0.008,-6.182E-5,
0.209,,,-1.91E-5
0.209,0.008,-8.867E-5,
0.209,,,-1.92E-5
0.210,0.006,-5.815E-5,
0.210,,,-1.92E-5
0.210,0.008,-3.862E-5,
0.210,,,-1.92E-5
0.210,0.008,-8.013E-5,
0.211,,,-1.93E-5
0.211,0.008,-6.548E-5,
0.211,,,-1.93E-5
0.212,0.009,-2.520E-5,
0.212,,,-1.93E-5
0.212,0.008,-8.257E-5,
0.212,,,-1.94E-5
0.212,0.008,-6.670E-5,
0.213,,,-1.94E-5
0.213,0.009,-8.745E-5,
0.213,,,-1.94E-5
0.214,0.008,-5.327E-5,
0.214,,,-1.95E-5
0.214,0.008,-9.233E-5,
0.214,,,-1.95E-5
0.214,0.008,-3.618E-5,
0.215,,,-1.95E-5
0.215,0.008,-1.009E-4,
0.215,,,-1.96E-5
0.216,0.009,-8.745E-5,
0.216,,,-1.96E-5
0.216,0.009,-9.478E-5,
0.216,,,-1.97E-5
0.216,0.009,-7.402E-5,
0.217,,,-1.97E-5
0.217,0.008,-8.257E-5,
0.217,,,-1.97E-5
0.218,0.007,-8.623E-5,
0.218,,,-1.98E-5
0.218,0.009,-6.792E-5,
0.218,,,-1.98E-5
0.218,0.008,-9.600E-5,
0.219,,,-1.99E-5
0.219,0.009,-1.787E-5,
0.219,,,-1.99E-5
0.220,0.008,-1.241E-4,
0.220,,,-1.99E-5
0.220,0.008,-3.496E-5,
0.220,,,-1.99E-5
0.220,0.008,-4.595E-5,
0.221,,,-2.00E-5
